date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:06:07	26911/26911	U--MC-	200	updated ('OK')	text/html	date:Sun,%2023%20Mar%202025%2003:06:07%20GMT	https://forum.ebxtalk.org/	C:/My%20Web%20Sites/EBX%20Talk/forum.ebxtalk.org/index.html	(from )
20:06:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Mar%202025%2003:06:07%20GMT	http://forum.ebxtalk.org/rss/public	C:/My%20Web%20Sites/EBX%20Talk/forum.ebxtalk.org/rss/public.0.delayed	(from https://forum.ebxtalk.org/)
20:06:08	50163/50163	---M-Z	200	added ('OK')	text/css	etag:W/%22c3f3-5ea2785903d40%22	http://storage.proboards.com/forum/css/0/forum_base_1144.css	C:/My%20Web%20Sites/EBX%20Talk/storage.proboards.com/forum/css/0/forum_base_1144.css	(from https://forum.ebxtalk.org/)
20:06:08	7091/7091	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2023%20Mar%202025%2003:06:08%20GMT	https://forum.ebxtalk.org/rss/public	C:/My%20Web%20Sites/EBX%20Talk/forum.ebxtalk.org/rss/public	(from https://forum.ebxtalk.org/)
20:06:08	70564/70564	---M-Z	200	added ('OK')	text/css	etag:W/%22113a4-630a585d278e6%22	http://storage.proboards.com/7417357/css/nCbMcQsVoHLCkDSyKQVG.css	C:/My%20Web%20Sites/EBX%20Talk/storage.proboards.com/7417357/css/nCbMcQsVoHLCkDSyKQVG.css	(from https://forum.ebxtalk.org/)
20:06:09	1091/1091	---M-Z	200	added ('OK')	text/css	etag:W/%22443-5ea2785903d40%22	http://storage.proboards.com/forum/css/0/print_1144.css	C:/My%20Web%20Sites/EBX%20Talk/storage.proboards.com/forum/css/0/print_1144.css	(from https://forum.ebxtalk.org/)
20:06:10	52916/52916	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/EBX%20Talk/www.google-analytics.com/analytics.js	(from https://forum.ebxtalk.org/)
20:06:21	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2023%20Mar%202025%2003:06:10%20GMT	https://forum.ebxtalk.org/help	C:/My%20Web%20Sites/EBX%20Talk/forum.ebxtalk.org/help	(from https://forum.ebxtalk.org/)
20:06:24	17942/17942	---MC-	200	added ('OK')	text/html	date:Sun,%2023%20Mar%202025%2003:06:22%20GMT	https://forum.ebxtalk.org/page/discord	C:/My%20Web%20Sites/EBX%20Talk/forum.ebxtalk.org/page/discord.html	(from https://forum.ebxtalk.org/)
20:06:26	34202/34202	---MC-	200	added ('OK')	text/html	date:Sun,%2023%20Mar%202025%2003:06:21%20GMT	https://forum.ebxtalk.org/search	C:/My%20Web%20Sites/EBX%20Talk/forum.ebxtalk.org/search.html	(from https://forum.ebxtalk.org/)
